avalanche_id,location,trigger_date_time,trigger_date_time_accuracy_code,trigger_type,avalanche_type,avalanche_size,avalanche_moisture,start_zone_aspect,snow_depth_sat,lat,lon,Avalanche Event,closest_station,station_abbr,tre200h0,tre200hn,tre200hx,tre005h0,tre005hn,ure200h0,pva200h0,tde200h0,prestah0,pp0qffh0,pp0qnhh0,ppz700h0,ppz850h0,fkl010h1,dkl010h0,fkl010h0,fu3010h0,fu3010h1,fkl010h3,fu3010h3,wcc006h0,fve010h0,rre150h0,htoauths,gre000h0,oli000h0,olo000h0,osr000h0,ods000h0,sre000h0,erefaoh0,elevation,gradient_x,gradient_y,gradient_magnitude,aspect
8cb21b8c-4e00-4409-bc59-db5c053ba65d,8.42279 46.779714,2023-04-14 06:30:00+02:00,5,EXPLOSIVE,SLAB,2,DRY,N,162,46.779714,8.42279,0,TIT,TIT,-13.5,-13.9,-13.1,,,100.0,2.2,-13.5,684.5,,1002.4,2926.6,,9.8,323.0,2.1,7.6,35.3,9.6,34.6,,,,,25.0,,,,,,0.008,761.37451171875,-2.08740234375,-1899.31640625,1899.3175533067028,179.93703034634154
11f734d7-e1b6-4c3b-8fe6-abdd0b39cea0,8.385873 46.778735,2023-04-12 08:00:00.000 +0200,4,EXPLOSIVE,SLAB,2,DRY,NE,77,46.778735,8.385873,1,TIT,TIT,-4.5,-4.7,-4.3,,,96.7,4.2,-5.0,689.8,,1009.7,2982.1,,21.3,256.0,9.9,35.6,76.7,20.0,72.0,,,,,216.0,,,,,,0.045,738.159423828125,-807.4951171875,-2791.95556640625,2906.383362371265,163.86896488795355
931d9d63-4823-45cb-940f-26620aa25be9,8.425244 46.779006,2023-04-17 07:30:00+02:00,2,EXPLOSIVE,SLAB,2,DRY,N,283,46.779006,8.425244,0,TIT,TIT,-9.4,-9.6,-9.3,,,95.6,2.9,-10.0,694.0,,1015.4,3030.7,,12.7,29.0,5.5,19.8,45.7,11.9,42.8,,,,,131.0,,,,,,0.028,763.1732788085938,1680.46875,-810.24169921875,1865.6009302311816,244.2588574618955
da27b6a6-0240-478c-9ff6-ab83983e37eb,8.426516 46.77779,2023-04-29 07:30:00.000 +0200,2,EXPLOSIVE,SLAB,2,DRY,NE,177,46.77779,8.426516,1,TIT,TIT,-2.8,-3.0,-2.6,,,99.3,4.9,-2.9,697.5,,1020.2,3069.6,,7.7,346.0,2.3,8.3,27.7,7.4,26.6,,,,,143.0,,,,,,0.049,762.9927978515625,-111.181640625,-1086.21826171875,1091.8935247098818,174.15575022355583
c98d2b1a-9c67-4f2a-8b1b-1b27502b6c5d,8.423896 46.779967,2023-04-14 07:00:00+02:00,3,EXPLOSIVE,SLAB,1,DRY,NW,300,46.779967,8.423896,0,TIT,TIT,-13.4,-13.7,-13.1,,,99.4,2.2,-13.5,684.7,,1002.8,2929.1,,9.3,318.0,3.0,10.8,33.5,8.9,32.0,,,,,121.0,,,,,,0.023,764.029541015625,305.74951171875,-790.576171875,847.6399279486448,201.1436112374965
b5d8fc03-e36a-4fa1-9d42-ea7105356bda,8.385358 46.779077,2023-04-17 05:00:00+02:00,3,EXPLOSIVE,UNKNOWN,2,DRY,NE,129,46.779077,8.385358,0,TIT,TIT,-9.3,-9.4,-9.1,,,94.4,2.9,-10.1,693.5,,1014.8,3026.0,,13.9,18.0,8.3,29.9,50.0,13.6,49.0,,,,,1.0,,,,,,0.001,739.8767700195312,888.02490234375,118.4326171875,895.8875554423712,277.59650059112585
931d9d63-4823-45cb-940f-26620aa25be9,8.425244 46.779006,2023-04-15 07:30:00+02:00,2,EXPLOSIVE,SLAB,2,DRY,N,262,46.779006,8.425244,0,TIT,TIT,-9.0,-9.1,-8.8,,,97.9,3.0,-9.3,685.0,,1003.1,2929.2,,13.6,300.0,9.7,34.9,49.0,13.3,47.9,,,,,147.0,,,,,,0.023,763.1732788085938,1680.46875,-810.24169921875,1865.6009302311816,244.2588574618955
33f93161-2ec3-46b0-ab16-f598e280759a,8.383072 46.779972,2023-04-13 08:00:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,NE,78,46.779972,8.383072,0,TIT,TIT,-13.9,-14.2,-13.6,,,99.5,2.1,-14.0,683.4,,1001.0,2915.3,,10.1,299.0,5.4,19.4,36.4,9.8,35.3,,,,,212.0,,,,,,0.032,740.880126953125,1365.93017578125,-3138.57421875,3422.9246809872943,203.51902337309957
564bddb0-e717-11ed-acf0-f7b342f82229,7.822357 46.529218,2023-04-29 12:00:00+02:00,7,NATURAL,SLAB,3,UNKNOWN,N,204,46.529218,7.822357,0,INT,INT,16.4,15.4,17.3,24.7,21.8,70.7,13.2,11.1,948.7,1015.1,1016.6,,,2.5,243.0,0.8,2.9,9.0,2.3,8.3,0.0,,0.0,,638.0,,,,432.0,17.0,0.38,666.2966918945312,248.291015625,-37.5732421875,251.11785473871532,261.394866180814
bafec949-69be-4d29-96df-732ded5d7686,8.389718 46.787228,2023-04-03 08:00:00+02:00,3,EXPLOSIVE,SLAB,1,DRY,N,68,46.787228,8.389718,0,TIT,TIT,-11.3,-11.6,-11.0,,,94.8,2.5,-12.0,692.7,,1013.6,3017.1,,9.9,35.0,5.6,20.2,35.6,9.7,34.9,,,,,225.0,,,,,,0.04,746.5532836914062,2276.91650390625,-1173.01025390625,2561.308615050101,242.74361235020513
