avalanche_id,location,trigger_date_time,trigger_date_time_accuracy_code,trigger_type,avalanche_type,avalanche_size,avalanche_moisture,start_zone_aspect,snow_depth_sat,lat,lon,Avalanche Event,closest_station,station_abbr,tre200h0,tre200hn,tre200hx,tre005h0,tre005hn,ure200h0,pva200h0,tde200h0,prestah0,pp0qffh0,pp0qnhh0,ppz700h0,ppz850h0,fkl010h1,dkl010h0,fkl010h0,fu3010h0,fu3010h1,fkl010h3,fu3010h3,wcc006h0,fve010h0,rre150h0,htoauths,gre000h0,oli000h0,olo000h0,osr000h0,ods000h0,sre000h0,erefaoh0
72a5d090-d8f5-11ed-9de9-4bc775516e2e,8.249382 46.761703,2023-04-12 16:00:00+02:00,3,NATURAL,FULL_DEPTH,2,WET,SW,19,46.797668862097254,8.23799943531135,0,GIH,GIH,14.6,14.2,15.2,,,59.8,9.9,6.9,949.4,1003.6,1004.5,,,4.7,18.0,1.1,4.0,16.9,4.4,15.8,0.0,,0.0,,52.0,,,,50.0,0.0,0.067
1b05e8ea-984f-445d-8163-f5d970cfecf8,8.387973 46.785269,2023-04-13 07:00:00+02:00,4,EXPLOSIVE,SLAB,1,WET,NW,16,46.74721431161781,8.354249746897576,0,TIT,TIT,-13.5,-13.7,-13.0,,,100.0,2.2,-13.5,683.5,,1001.1,2915.8,,10.2,306.0,5.7,20.5,36.7,9.9,35.6,,,,,127.0,,,,,,0.019
50374fe0-d439-11ed-a920-a702e6e7f311,8.245848 46.760908,2023-04-06 16:00:00+02:00,2,NATURAL,FULL_DEPTH,1,WET,SW,106,46.74073601459517,8.2577941020287,0,MER,MER,11.0,10.9,11.1,11.5,11.1,34.5,4.6,-4.0,948.7,1017.6,1017.8,,,7.5,290.0,3.9,14.0,27.0,7.3,26.3,0.0,,0.0,,207.0,,,,202.0,0.0,0.186
dda75b80-ddc2-11ed-b3b1-431b3c02902e,8.263291 46.74286,2023-04-17 14:30:00.000 +0200,1,SNOW_GROOMER,SLAB,3,DRY,SE,127,46.74286,8.263291,1,MER,MER,11.6,11.1,12.1,14.3,13.0,57.1,7.8,3.4,948.8,1017.6,1017.9,,,13.4,336.0,6.0,21.6,48.2,13.2,47.5,0.0,,0.0,,451.0,,,,342.0,10.0,0.264
27d50482-68af-45c1-b95c-82786dd48176,7.97274 46.575625,2023-04-03 08:00:00+02:00,3,EXPLOSIVE,LOOSE_SNOW,1,DRY,N,239,46.54364992491017,8.002615050471153,0,JUN,JUN,-13.4,-13.9,-13.0,,,44.8,1.0,-23.0,650.9,,1012.8,3018.0,,13.2,349.0,5.9,21.2,47.5,12.6,45.4,,,,,476.0,137.0,,,,60.0,0.095
bc76da5f-d990-4bb2-a099-1ab0703da0a4,8.422538 46.779775,2023-05-02 07:30:00.000 +0200,4,EXPLOSIVE,SLAB,2,DRY,N,107,46.779775,8.422538,1,TIT,TIT,-6.7,-6.9,-6.5,,,97.5,3.6,-7.1,697.0,,1019.6,3064.7,,10.9,23.0,7.1,25.6,39.2,10.7,38.5,,,,,152.0,,,,,,0.033
ad1f7e7f-180e-4f38-9562-d610574cd4c5,8.239483 46.749076,2023-04-03 06:30:00+02:00,2,EXPLOSIVE,SLAB,1,DRY,N,35,46.75427801841247,8.24420911700308,0,MER,MER,5.1,4.7,5.6,4.0,3.9,80.7,7.1,2.0,950.5,1021.1,1019.7,,,8.5,267.0,4.5,16.2,30.6,8.2,29.5,0.0,,0.0,,18.0,,,,16.0,0.0,0.036
564bddb0-e717-11ed-acf0-f7b342f82229,7.822357 46.529218,2023-04-29 12:00:00+02:00,7,NATURAL,SLAB,3,UNKNOWN,N,32,46.5228752974708,7.793158985574205,0,FRU,FRU,16.1,15.4,16.4,,,67.6,12.4,10.2,,,,,,6.0,45.0,3.2,11.5,21.6,5.8,20.9,,,0.0,,859.0,334.0,,,412.0,56.0,
c1bf9390-dd0b-11ed-8f1e-7bb69ddca4ec,8.237684 46.748368,2023-04-19 12:00:00+02:00,7,NATURAL,SLAB,2,DRY,NW,65,46.74926443054101,8.248468237192572,0,MER,MER,13.9,13.3,14.3,21.2,21.0,60.5,9.6,6.4,948.0,1016.1,1017.0,,,8.5,280.0,4.3,15.5,30.6,8.2,29.5,0.0,,0.0,,892.0,,,,138.0,60.0,0.463
a94851d0-e58a-11ed-94a2-bf37c1703856,7.5461 46.68465,2023-04-28 12:00:00+02:00,7,NATURAL,SLAB,2,UNKNOWN,SW,10,46.68875816406928,7.509287523468081,0,THU,THU,17.0,16.7,17.4,,,71.8,13.9,11.9,950.1,1015.4,1017.0,,,2.4,257.0,1.0,3.6,8.6,2.3,8.3,,,0.0,,216.0,,,,,0.0,0.154
